Code,Name,Learning Outcomes,Description
4.1.3.1,Comparison with Group 1 elements,"Students should be able to: describe the difference between transition metals and Group 1 in terms of melting points, densities, strength, hardness, and reactivity.","Transition elements are metallic with higher melting points and densities than Group 1. They are generally harder, stronger, and much less reactive with water and oxygen."
4.1.3.2,Typical properties,"Students should be able to: exemplify general properties (coloured compounds, multiple ions, catalysis) by reference to Cr, Mn, Fe, Co, Ni, and Cu.","Transition metals are characterized by their ability to form ions with different charges, produce vibrant coloured compounds, and act as effective catalysts in many chemical reactions."
4.2.1.1,Chemical bonds,Student should be able to explain chemical bonding in terms of electrostatic forces and the transfer or sharing of electrons.,"There are three primary types of strong chemical bonds: ionic, covalent, and metallic. Ionic bonding involves electrostatic attraction between oppositely charged ions (metal to non-metal). Covalent bonding involve atoms sharing pairs of electrons (non-metals). Metallic bonding involves atoms sharing a ""sea"" of delocalised electrons (metals and alloys)."
4.2.1.2,Ionic bonding,Student should be able to: draw dot and cross diagrams for ionic compounds formed by metals in Groups 1 and 2 with non-metals in Groups 6 and 7; work out the charge on ions from the group number of the element.,"During ionic bond formation, electrons are transferred from metal atoms (forming positive ions) to non-metal atoms (forming negative ions). The resulting ions achieve the stable electronic structure of a noble gas. These diagrams visualize the transfer of outer-shell electrons."
4.2.1.3,Ionic compounds,"Student should be able to: deduce that a compound is ionic from a diagram of its structure; describe the limitations of using different models (ball and stick, etc.); work out the empirical formula from a model.","Ionic compounds form giant ionic lattices where strong electrostatic forces of attraction act in all directions between oppositely charged ions. While models like ball-and-stick show arrangements, they have limitations in representing the continuous nature and scale of the lattice."
4.2.1.4,Covalent bonding,"Student should be able to: draw dot and cross diagrams for molecules (H2, Cl2, O2, N2, HCl, H2O, NH3, CH4); represent bonds with lines; describe model limitations; deduce molecular formulas from diagrams.","Covalent bonds are formed when atoms share pairs of electrons to achieve stability. These bonds are very strong and can result in small molecules, large molecules like polymers, or giant covalent structures like diamond and silica."
4.2.1.5,Metallic bonding,Student should be able to recognise substances as metallic giant structures from diagrams showing their bonding.,"Metals consist of giant structures where atoms are arranged in a regular pattern. Electrons in the outer shell are delocalised, meaning they are free to move throughout the entire structure, creating strong metallic bonds through shared delocalised electrons."
4.2.2.1,The three states of matter,Student should be able to: predict states at different temperatures from data; explain change of state temperatures in terms of energy and bonding; recognise bulk properties; (HT only) explain particle theory limitations.,"Matter exists as solid, liquid, or gas. The temperature of melting or boiling depends on the energy required to overcome forces between particles. This energy requirement is determined by the type of bonding and the structure of the substance."
4.2.2.2,State symbols,Student should be able to include appropriate state symbols in chemical equations for the reactions in this specification.,"Chemical equations use specific notation to indicate the physical state of reactants and products: (s) for solid, (l) for liquid, (g) for gas, and (aq) for aqueous solutions (dissolved in water)."
4.2.2.3,Properties of ionic compounds,Student should be able to explain the high melting points and electrical conductivity of ionic compounds in terms of their giant lattice and mobile ions.,"Giant ionic lattices require significant energy to break the strong electrostatic forces, leading to high melting and boiling points. They conduct electricity only when molten or dissolved because the ions are free to move and carry charge."
4.2.2.4,Properties of small molecules,Student should be able to use the idea that intermolecular forces are weak compared with covalent bonds to explain the bulk properties of molecular substances.,"Small molecules have strong internal covalent bonds but very weak intermolecular forces. Since only these weak forces are overcome during melting or boiling, these substances have low melting/boiling points and do not conduct electricity as they lack overall charge."
4.2.2.5,Polymers,Student should be able to recognise polymers from diagrams showing their bonding and structure.,"Polymers are comprised of very large molecules. Atoms within the chain are linked by strong covalent bonds, while the intermolecular forces between the large chains are strong enough to make polymers solid at room temperature."
4.2.2.6,Giant covalent structures,Student should be able to recognise giant covalent structures from diagrams showing their bonding and structure.,"These are solid substances with exceptionally high melting points. Every atom is linked to others by strong covalent bonds that must be broken to melt the substance. Key examples include diamond, graphite, and silicon dioxide."
4.2.2.7,Properties of metals and alloys,Student should be able to explain why alloys are harder than pure metals in terms of distortion of the layers of atoms in the structure of a pure metal.,"Pure metals have atoms arranged in regular layers that can slide over each other, making them soft. Alloys contain different sized atoms that distort these layers, making it harder for them to slide and thus making the material stronger."
4.2.2.8,Metals as conductors,Student should be able to explain the electrical and thermal conductivity of metals in terms of delocalised electrons.,"Metals are excellent conductors of both electricity and thermal energy. This is because delocalised electrons are free to move throughout the giant metallic structure, allowing them to carry electrical charge and transfer energy efficiently."
4.2.3.1,Diamond,Student should be able to explain the properties of diamond in terms of its structure and bonding.,"In diamond, each carbon atom is covalently bonded to four other carbon atoms. This giant covalent structure is extremely hard, has an incredibly high melting point, and cannot conduct electricity because there are no free electrons."
4.2.3.2,Graphite,Student should be able to explain the properties of graphite in terms of its structure and bonding; recognise that graphite has delocalised electrons.,"Graphite is composed of layers of hexagonal rings where each carbon atom forms three bonds. There are no covalent bonds between layers, allowing them to slide. One electron per atom is delocalised, allowing graphite to conduct electricity and heat."
4.2.3.3,Graphene and fullerenes,"Student should be able to: recognise graphene and fullerenes from diagrams; give examples of uses of fullerenes, including carbon nanotubes.","Graphene is a single, two-dimensional layer of graphite. Fullerenes are carbon molecules with hollow shapes (like C60). Carbon nanotubes are cylindrical fullerenes with high tensile strength and high electrical conductivity, useful in nanotechnology."
4.2.4.1,Sizes of particles and their properties,Student should be able to compare ‘nano’ dimensions to typical dimensions of atoms and molecules.,"Nanoscience involves particles 1–100 nm in size. As particles get smaller, their surface area to volume ratio increases dramatically. This gives nanoparticles unique properties compared to the same material in bulk form."
4.2.4.2,Uses of nanoparticles,Student should be able to: evaluate the use of nanoparticles for a specified purpose given information; explain possible risks associated with nanoparticles.,"Nanoparticles have high-tech applications in medicine, electronics, cosmetics (sun creams), and catalysts. However, their small size means they may pose unique health and environmental risks that require careful research and peer review."
4.3.1.1,Conservation of mass and balanced chemical equations,Student should be able to: understand the use of multipliers in equations (coefficients) and subscripts within a formula; explain why mass is conserved in a balanced symbol equation.,"The law of conservation of mass states that no atoms are lost or made during a chemical reaction, ensuring the mass of products equals the mass of reactants. This fundamental principle requires chemical reactions to be represented by balanced symbol equations."
4.3.1.2,Relative formula mass,Student should be able to: calculate the percentage by mass in a compound given the relative formula mass (Mr) and relative atomic masses (Ar).,"The relative formula mass (Mr) of a compound is the sum of the relative atomic masses of every atom shown in the formula. In balanced equations, the sum of Mr of reactants equals the sum of Mr of products."
4.3.1.3,Mass changes when a reactant or product is a gas,Student should be able to: explain observed changes in mass in non-enclosed systems using the balanced symbol equation and the particle model.,"Apparent changes in mass during reactions usually occur in non-enclosed systems where a gaseous reactant is taken in (increasing mass) or a gaseous product escapes into the atmosphere (decreasing mass), such as in thermal decomposition."
4.3.1.4,Chemical measurements,Student should be able to: represent the distribution of results and make estimations of uncertainty; use the range of measurements about the mean as a measure of uncertainty.,Scientific measurements always involve a degree of uncertainty. This uncertainty can be quantified and estimated by analyzing the spread (range) of experimental data points relative to their calculated mean.
4.3.2.1,Moles (HT only),Student should be able to: use the relative formula mass of a substance to calculate the number of moles in a given mass and vice versa; understand the Avogadro constant.,A mole is the unit for chemical amount (mol). One mole of any substance contains $6.02 \times 10^{23}$ particles (Avogadro constant). The mass of one mole of a substance in grams is numerically equal to its relative formula mass.
4.3.2.2,Amounts of substances in equations (HT only),Student should be able to: calculate the masses of reactants and products from a balanced symbol equation and the mass of a given reactant or product.,"Balanced symbol equations can be interpreted in terms of moles, allowing for the calculation of the exact masses of substances involved in a reaction based on their stoichiometric ratios."
4.3.2.3,Using moles to balance equations (HT only),Student should be able to: balance an equation given the masses of reactants and products; change the subject of a mathematical equation.,The balancing numbers (coefficients) in a symbol equation can be derived experimentally by converting measured masses of reactants and products into molar amounts and finding their simplest whole-number ratios.
4.3.2.4,Limiting reactants (HT only),Student should be able to: explain the effect of a limiting quantity of a reactant on the amount of products it is possible to obtain in terms of moles or masses.,"In many reactions, one reactant is used in excess to ensure completion. The reactant that is completely consumed is the limiting reactant, as it determines the maximum possible amount of product that can be formed."
4.3.2.5,Concentration of solutions,Student should be able to: calculate the mass of solute in a given volume of known concentration ($g/dm^3$); (HT only) explain how mass and volume relate to concentration.,Solution concentration is often measured in mass per volume ($g/dm^3$). The amount of solute present depends on both the concentration of the solution and the total volume of the liquid used.
4.3.3.1,Percentage yield,Student should be able to: calculate the percentage yield of a product from the actual yield; (HT only) calculate theoretical mass from a given mass of reactant and balanced equation.,"Percentage yield compares the actual mass of product obtained to the maximum theoretical mass. Yield is rarely 100% due to reversible reactions, loss during separation, or side reactions."
4.3.3.2,Atom economy,Student should be able to: calculate the atom economy of a reaction from the balanced equation; (HT only) explain why a specific reaction pathway is chosen for sustainable development.,Atom economy measures the proportion of starting materials that end up as useful products. High atom economy is vital for sustainable development and economic efficiency as it minimizes waste.
4.3.4,Using concentrations of solutions in mol/dm3 (HT only),Student should be able to: explain how concentration ($mol/dm^3$) relates to the mass of solute and volume; calculate concentration from titration data.,"Concentration can be expressed in $mol/dm^3$. If the volume of two reacting solutions is known alongside the concentration of one, the concentration of the other can be determined through titration calculations."
4.3.5,Use of amount of substance in relation to volumes of gases (HT only),Student should be able to: calculate the volume of a gas at room temperature and pressure from its mass and Mr; calculate volumes of gaseous reactants and products from balanced equations.,"Equal moles of all gases occupy the same volume under identical conditions. At room temperature and pressure ($20^\circ\text{C}$ and 1 atm), one mole of any gas has a volume of $24\text{ dm}^3$."
4.4.1.1,Metal oxides,Student should be able to explain reduction and oxidation in terms of loss or gain of oxygen.,"Metals undergo oxidation reactions when they react with oxygen to produce metal oxides. In this context, oxidation is defined specifically as the gain of oxygen, while reduction is the loss of oxygen."
4.4.1.2,The reactivity series,"Student should be able to: recall and describe reactions of K, Na, Li, Ca, Mg, Zn, Fe, and Cu with water or acids; explain reactivity in terms of ion formation; deduce an order of reactivity from experimental results.",The reactivity of a metal is determined by its tendency to lose electrons and form positive ions. Metals are arranged in a reactivity series; more reactive metals can displace less reactive metals from their compounds in aqueous solutions.
4.4.1.3,Extraction of metals and reduction,Student should be able to: interpret or evaluate metal extraction processes; identify substances oxidised or reduced in terms of oxygen transfer.,"Unreactive metals like gold are found in their native state, but most metals exist as compounds. Metals less reactive than carbon are extracted by reduction (loss of oxygen) using carbon as a reducing agent."
4.4.1.4,Oxidation and reduction in terms of electrons (HT only),Student should be able to: write ionic equations for displacement reactions; identify species oxidised and reduced in symbol or half equations.,"At the atomic level, oxidation is defined as the loss of electrons (OIL), and reduction is the gain of electrons (RIG). These simultaneous processes in a reaction are known as redox reactions."
4.4.2.1,Reactions of acids with metals,Student should be able to: (HT only) explain redox reactions in terms of electron transfer; identify species oxidised and reduced in equations.,"Acids react with metals (specifically Mg, Zn, and Fe) to produce a salt and hydrogen gas. These are redox reactions where the metal atoms lose electrons and hydrogen ions gain them."
4.4.2.2,Neutralisation of acids and salt production,Student should be able to: predict products from given reactants; use formulae of common ions to deduce salt formulae.,"Acids are neutralised by alkalis, bases, and metal carbonates to produce salts and water. Carbonates also produce carbon dioxide. The specific salt depends on the acid used (e.g., hydrochloric acid produces chlorides)."
4.4.2.3,Soluble salts,"Student should be able to describe how to make pure, dry samples of named soluble salts from an insoluble oxide or carbonate.",Soluble salts are prepared by reacting an acid with an excess of an insoluble base. The mixture is filtered to remove unreacted base and the resulting solution is crystallised to obtain the solid salt.
4.4.2.4,The pH scale and neutralisation,"Student should be able to: describe the use of indicators or probes to measure pH; use the pH scale to identify acidic, alkaline, or neutral solutions.",The pH scale (0-14) measures acidity (H+ ions) and alkalinity (OH- ions). Neutralisation occurs when H+ ions from an acid react with OH- ions from an alkali to produce water ($H^+ + OH^- \rightarrow H_2O$).
4.4.2.5,Titrations (chemistry only),Student should be able to: describe how to carry out titrations to find reacting volumes accurately; (HT only) calculate chemical quantities in $mol/dm^3$ and $g/dm^3$.,"Titration is an analytical technique used to determine the exact volume of an acid and alkali that react completely. It requires the use of a burette, pipette, and a suitable indicator to identify the end-point."
4.4.2.6,Strong and weak acids (HT only),"Student should be able to: use and explain the terms dilute, concentrated, weak, and strong; describe neutrality and acidity in terms of H+ concentration and pH.","Strong acids (e.g., HCl) fully ionise in aqueous solution, while weak acids (e.g., ethanoic) only partially ionise. A decrease of one pH unit represents a tenfold increase in hydrogen ion concentration."
4.4.3.1,The process of electrolysis,"Student should be able to: (HT only) write, complete, and balance half equations for electrode reactions.",Electrolysis is the decomposition of an electrolyte (a molten or dissolved ionic compound) using an electric current. Positive ions move to the cathode (negative electrode) and negative ions move to the anode (positive electrode).
4.4.3.2,Electrolysis of molten ionic compounds,Student should be able to predict the products of the electrolysis of binary ionic compounds in the molten state.,"When a molten binary ionic compound is electrolysed, the metal is produced at the cathode as ions are reduced, and the non-metal is produced at the anode as ions are oxidised."
4.4.3.3,Using electrolysis to extract metals,Student should be able to: explain why a mixture (cryolite) is used as the electrolyte; explain why the carbon anode must be replaced.,"Electrolysis extracts metals too reactive to be reduced by carbon. In aluminium extraction, aluminium oxide is dissolved in molten cryolite to lower the melting point, saving energy; the oxygen produced reacts with the carbon anodes, requiring their regular replacement."
4.4.3.4,Electrolysis of aqueous solutions,Student should be able to predict the products of the electrolysis of aqueous solutions containing a single ionic compound.,"In aqueous electrolysis, hydrogen is produced at the cathode if the metal is more reactive than hydrogen. At the anode, oxygen is produced unless halide ions are present, in which case the halogen is formed."
4.4.3.5,Representation of reactions as half equations (HT only),Student should be able to represent cathode and anode reactions as half equations involving the loss or gain of electrons.,Half equations show the gain of electrons (reduction) at the cathode and the loss of electrons (oxidation) at the anode. They provide a detailed view of the electron transfer occurring at each electrode.
4.5.1.1,Energy transfer during exothermic and endothermic reactions,Student should be able to: distinguish between exothermic and endothermic reactions on the basis of temperature change; evaluate uses and applications of energy transfer reactions given appropriate information.,"Energy is conserved in chemical reactions; the total energy in the universe remains constant. Exothermic reactions transfer energy to the surroundings, resulting in a temperature increase (e.g., combustion, neutralisation). Endothermic reactions take in energy from the surroundings, causing a temperature decrease (e.g., thermal decomposition)."
4.5.1.2,Reaction profiles,Student should be able to: draw simple reaction profiles for exothermic and endothermic reactions; identify reactions as exo or endo from profiles; explain that activation energy is the energy needed for a reaction to occur.,Reaction profiles (energy level diagrams) visualize the relative energies of reactants and products. They illustrate the overall energy change and the activation energy—the minimum energy particles must possess to react upon collision. A curved line represents the energy path as the reaction proceeds.
4.5.1.3,The energy change of reactions (HT only),Student should be able to calculate the energy transferred in chemical reactions using bond energies supplied.,"During reactions, energy is absorbed to break bonds in reactants (endothermic process) and released when new bonds form in products (exothermic process). The overall energy change is the sum of energy needed to break bonds minus the energy released when bonds are formed."
4.5.2.1,Cells and batteries,Student should be able to interpret data for relative reactivity of different metals and evaluate the use of cells.,"Cells produce electricity through chemical reactions between electrodes and an electrolyte. Voltage depends on the metals used and the electrolyte. Batteries are multiple cells in series. Non-rechargeable cells stop when reactants are exhausted, while rechargeable cells reverse the reaction using an external current."
4.5.2.2,Fuel cells,Student should be able to: evaluate the use of hydrogen fuel cells in comparison with rechargeable cells/batteries; (HT only) write the half equations for the electrode reactions in the hydrogen fuel cell.,"Fuel cells use an external fuel source (like hydrogen) and oxygen to produce a potential difference through electrochemical oxidation. In a hydrogen fuel cell, the only waste product is water, making them a clean alternative to traditional batteries, though they involve different technical and economic trade-offs."
4.6.1.1,Calculating rates of reactions,Student should be able to: calculate the mean rate of a reaction from given information; draw and interpret graphs showing quantity over time; draw tangents to curves to measure rate; (HT only) calculate the gradient of a tangent as a measure of rate at a specific time.,"Reaction rates are determined by monitoring the depletion of reactants or the accumulation of products over time. Measurements are typically taken in grams ($g$) or volume ($cm^3$), resulting in units like $g/s$ or $cm^3/s$. Higher Tier students also express rates in $mol/s$ using molar quantities."
4.6.1.2,Factors which affect the rates of chemical reactions,"Student should be able to recall how changing factors (concentration, pressure, surface area, temperature, and catalysts) affects the rate of chemical reactions.","Several physical variables can be manipulated to control reaction speed. These include increasing the concentration of solutions, raising the pressure of reacting gases, increasing the surface area of solid reactants, raising the temperature, or introducing a catalyst to the system."
4.6.1.3,Collision theory and activation energy,Student should be able to: predict and explain the effects of changing conditions using collision theory; explain the effects of surface area to volume ratio; use ideas about proportionality to explain factor effects.,"According to collision theory, reactions occur only when particles collide with energy equal to or greater than the activation energy. Rate increases are caused by increasing the frequency of collisions (via concentration, pressure, or surface area) or by increasing the energy and frequency of collisions (via temperature)."
4.6.1.4,Catalysts,Student should be able to: identify catalysts in reactions from their effect and absence in the chemical equation; explain catalytic action in terms of activation energy.,Catalysts are substances that speed up chemical reactions without being consumed. They function by providing an alternative reaction pathway with a lower activation energy. Biological catalysts are known as enzymes. This effect is often visualized using reaction profiles.
4.6.2.1,Reversible reactions,Student should be able to understand that the direction of reversible reactions can be changed by changing the conditions.,"In a reversible reaction, the products can react to reform the original reactants. This is denoted by the $\rightleftharpoons$ symbol. The final direction of the reaction is determined by the environmental conditions imposed on the system."
4.6.2.2,Energy changes and reversible reactions,"Student should be able to understand that if a reversible reaction is exothermic in one direction, it is endothermic in the opposite direction, with equal energy transfer.","Reversible reactions involve reciprocal energy changes. If the forward reaction releases a specific amount of heat (exothermic), the reverse reaction must absorb the exact same amount of heat (endothermic) to return to the starting state."
4.6.2.3,Equilibrium,Student should be able to understand that equilibrium is reached when the forward and reverse reactions occur at exactly the same rate in a closed system.,"Dynamic equilibrium occurs when the rates of the forward and reverse reactions are equal. In this state, the concentrations of reactants and products remain constant, provided the reaction occurs in a closed system where no substances can escape."
4.6.2.4,The effect of changing conditions on equilibrium (HT only),Student should be able to make qualitative predictions about the effect of changes on systems at equilibrium using Le Chatelier’s Principle.,"Le Chatelier’s Principle states that if a system at equilibrium is subjected to a change in conditions, the system will shift its equilibrium position to counteract that change. This allows scientists to predict how changes in temperature, pressure, or concentration will affect the yield."
4.6.2.5,The effect of changing concentration (HT only),Student should be able to interpret given data to predict the effect of a change in concentration of a reactant or product on reactions at equilibrium.,"If the concentration of a reactant is increased, the system shifts to produce more products until equilibrium is restored. Conversely, if a product's concentration is decreased, the system shifts to use up more reactants to replace the lost product."
4.6.2.6,The effect of temperature changes on equilibrium (HT only),Student should be able to interpret given data to predict the effect of a change in temperature on reactions at equilibrium.,"For a system at equilibrium, increasing the temperature favours the endothermic reaction (to absorb the extra heat). Decreasing the temperature favours the exothermic reaction (to release more heat). This directly impacts the relative amount of products at equilibrium."
4.6.2.7,The effect of pressure changes on equilibrium (HT only),Student should be able to interpret given data to predict the effect of pressure changes on gaseous reactions at equilibrium.,"In gaseous systems, increasing the pressure shifts the equilibrium toward the side with the fewest molecules of gas (to reduce pressure). Decreasing the pressure shifts the equilibrium toward the side with the most molecules of gas (to increase pressure)."
4.7.1.1,"Crude oil, hydrocarbons and alkanes",Students should be able to recognise substances as alkanes given their formulae in various forms (C2H6 or displayed structural formulae).,"Crude oil is a finite resource formed over millions of years from the remains of ancient biomass, primarily plankton. It is a complex mixture of hydrocarbons, which are molecules containing only carbon and hydrogen. Most of these are alkanes, a homologous series of saturated hydrocarbons with the general formula $C_nH_{2n+2}$."
4.7.1.2,Fractional distillation and petrochemicals,Students should be able to explain how fractional distillation works in terms of evaporation and condensation.,"Fractional distillation separates the various hydrocarbons in crude oil into 'fractions' based on their boiling points. These fractions serve as fuels (petrol, diesel, kerosene) and feedstock for the petrochemical industry to produce solvents, lubricants, and polymers."
4.7.1.3,Properties of hydrocarbons,"Students should be able to: recall how boiling point, viscosity, and flammability change with molecular size; write balanced equations for complete combustion.","The physical properties of hydrocarbons—boiling point, viscosity, and flammability—are determined by molecular size. Shorter chains have lower boiling points and higher flammability. Complete combustion occurs when carbon and hydrogen are fully oxidised to produce carbon dioxide and water, releasing energy."
4.7.1.4,Cracking and alkenes,Students should be able to: describe general conditions for catalytic and steam cracking; recall the colour change for the bromine water test; balance chemical equations for cracking.,"Cracking involves breaking down long-chain hydrocarbons into smaller, more useful molecules using heat and a catalyst (catalytic cracking) or steam (steam cracking). The process produces alkanes for fuels and alkenes, which are unsaturated hydrocarbons used as starting materials for polymers."
4.7.2.1,Structure and formulae of alkenes,Students should be able to recognise substances that are alkenes from their names or given formulae.,"Alkenes are unsaturated hydrocarbons that contain a $C=C$ double bond. They belong to a homologous series with the general formula $C_nH_{2n}$. Because they contain fewer hydrogen atoms than alkanes with the same number of carbons, they are more reactive."
4.7.2.2,Reactions of alkenes,"Students should be able to: describe reactions and conditions for addition of hydrogen, water, and halogens; draw fully displayed structural formulae of first four alkenes and their addition products.","Alkenes react with oxygen via combustion (often incomplete, producing smoky flames) and via addition reactions. In addition, atoms are added across the $C=C$ double bond, turning it into a single bond. Common addition reactions include hydrogenation, hydration (forming alcohols), and halogenation."
4.7.2.3,Alcohols,"Students should be able to: describe reactions with sodium, air (combustion), water, and oxidising agents; recall main uses; know conditions for fermentation.","Alcohols contain the functional group $-OH$. The first four members (methanol to butanol) are used as fuels and solvents. Ethanol is produced by the fermentation of sugars using yeast under warm, anaerobic conditions. Alcohols can be oxidised to form carboxylic acids."
4.7.2.4,Carboxylic acids,"Students should be able to: describe reactions with carbonates, water, and alcohols; (HT only) explain why they are weak acids in terms of ionisation and pH.","Carboxylic acids contain the functional group $-COOH$. They react with carbonates to produce a salt, water, and $CO_2$. In water, they only partially ionise, meaning they are classified as weak acids with a higher pH than strong acids of the same concentration."
4.3.1.2,Addition polymerisation,Students should be able to: recognise addition polymers and monomers from diagrams; draw diagrams representing polymer formation; relate the repeating unit to the monomer.,"Addition polymerisation involves many small unsaturated molecules (monomers) joining together to form very large molecules (polymers). In this process, the repeating unit has exactly the same atoms as the monomer because no other molecules are produced as by-products."
4.7.3.2,Condensation polymerisation (HT only),Students should be able to explain the basic principles of condensation polymerisation by reference to functional groups and repeating units.,"Condensation polymerisation involves monomers with two functional groups. When they react, they join together and usually lose a small molecule, such as water. Polyesters are a common example, formed from a diol and a dicarboxylic acid."
4.7.3.3,Amino acids (HT only),Students should be able to understand that amino acids have two different functional groups and react by condensation polymerisation.,Amino acids contain both an amine group ($-NH_2$) and a carboxylic acid group ($-COOH$). They polymerise through condensation to form polypeptides. Different amino acids combined in a chain produce diverse proteins essential for life.
4.7.3.4,DNA and other naturally occurring polymers,Students should be able to name the types of monomers from which naturally occurring polymers are made.,"DNA is a large, double-helix molecule made from four different monomers called nucleotides. Other vital natural polymers include proteins (made of amino acids), and starch and cellulose (both made from glucose monomers)."
4.8.1.1,Pure substances,Student should be able to use melting point and boiling point data to distinguish pure from impure substances.,"In chemical terms, a pure substance is a single element or compound not mixed with any other substance. Pure substances have sharp, specific melting and boiling points, whereas mixtures melt or boil over a range of temperatures; this data is a key diagnostic tool for purity."
4.8.1.2,Formulations,Student should be able to identify formulations given appropriate information.,"A formulation is a mixture designed as a useful product, created by mixing components in exact, carefully measured quantities. Each chemical in a formulation serves a specific purpose, such as in medicines, paints, fuels, alloys, and fertilizers."
4.8.1.3,Chromatography,Student should be able to: explain how paper chromatography separates mixtures; suggest methods to distinguish pure from impure substances; interpret chromatograms and determine Rf values to an appropriate number of significant figures.,"Chromatography separates mixtures based on how substances distribute themselves between a stationary phase and a mobile phase. The $R_f$ value (distance moved by substance ÷ distance moved by solvent) is unique to compounds in specific conditions. A pure substance produces a single spot, while a mixture separates into multiple spots."
4.8.2.1,Test for hydrogen,Student should be able to describe the chemical test for hydrogen gas.,"The presence of hydrogen is confirmed using a burning splint held at the mouth of a test tube. If hydrogen is present, it burns rapidly with a characteristic ""squeaky pop"" sound."
4.8.2.2,Test for oxygen,Student should be able to describe the chemical test for oxygen gas.,"The presence of oxygen is confirmed by inserting a glowing splint into a test tube containing the gas. Oxygen supports combustion, so it will cause the glowing splint to relight."
4.8.2.3,Test for carbon dioxide,Student should be able to describe the chemical test for carbon dioxide gas.,"Carbon dioxide is identified using limewater (aqueous calcium hydroxide). When the gas is bubbled through or shaken with limewater, the solution turns milky or cloudy due to the formation of a white precipitate."
4.8.2.4,Test for chlorine,Student should be able to describe the chemical test for chlorine gas.,"Chlorine is a reactive gas that acts as a bleaching agent. When damp litmus paper is exposed to chlorine gas, the paper is bleached and turns white."
4.8.3.1,Flame tests,"Student should be able to identify metal cations ($Li^+$, $Na^+$, $K^+$, $Ca^{2+}$, $Cu^{2+}$) based on distinctive flame colours.","Flame tests are used to identify metal ions in a sample. Specific results include: Lithium (crimson), Sodium (yellow), Potassium (lilac), Calcium (orange-red), and Copper (green). Note that mixtures of ions can cause colours to be masked."
